GPA,Parental_Income,Above_median,noisy_labels
1.8532248833400664,53620.83176567436,0,0
2.2600132995303897,86275.340590779,0,0
2.17836524241267,46573.91463692003,0,0
1.7317584318710055,63917.62468932867,0,0
3.5006306756869208,66194.44518420968,0,0
1.4690595319792317,53954.92461391169,0,0
1.1456613376567808,112377.27898280446,0,1
3.9022430998142292,136812.65726678356,1,1
3.0802519326809867,47058.56872325406,0,0
2.391791926316378,111404.1181219216,0,0
3.821643310842857,64847.51346117449,0,0
2.0576321122149914,78537.18523535854,0,0
1.195780356310448,130667.38380129763,0,1
2.0990934514231245,46898.10775799014,0,0
1.5623050323455172,118132.24262984429,0,0
4.0,99168.0865800147,1,1
3.5623134767738063,109437.73365943623,1,1
2.51806844337942,40629.55807275846,0,0
2.2771528228646627,45653.38870790797,0,0
2.242340459520138,119390.13761231619,0,0
3.155703148395775,131788.48463442287,0,0
1.8320725058685288,72832.9474961474,0,0
3.0340929880743257,104604.55647681953,0,0
1.623522769394853,104598.79253417479,0,0
1.6445398216992617,135853.51455923557,0,0
1.2397067615147286,69983.54134114219,0,1
3.9895026275086356,39817.004338172075,0,0
1.0984791309438078,46951.60472527626,0,1
2.789778242048116,77736.14955058022,0,0
3.334963932062494,128336.0445099953,0,0
4.0,79520.00884965328,0,0
3.615048193878072,106688.32354622436,0,0
2.410697281184278,18932.56826516224,0,0
2.0956161344106574,79294.09451374106,0,0
2.0367152334679037,113926.08643409026,0,0
1.2405775367734626,82454.3828193423,0,1
2.677936904181948,83808.71489639705,0,0
1.385330514987611,91791.19488982254,0,0
1.7884509423958939,129611.07177741498,0,0
3.574139490038677,43420.39790939714,0,0
1.8909793775619488,92549.91936300792,0,0
2.0611708526657306,82842.23924123807,0,0
3.258361299471671,90852.14992559269,0,0
1.0784345837468052,29000.14427263875,0,1
2.447133802581519,50717.01227148316,0,0
3.1634351964142318,36369.512916730135,0,0
3.425373931088965,54187.97650529928,0,0
1.7941540728272691,99258.48233274207,0,0
1.982765711099022,105279.04913125384,0,0
1.185257897165826,42436.19014959801,0,0
2.789969883212704,84384.78507659836,0,0
1.5890379226344702,66794.73831762548,0,0
3.391284295381331,142229.26533514188,0,0
2.3781792142407507,39735.609051390784,0,0
1.3724293530383957,47540.37552369354,0,1
2.1817963392352735,31930.12043055044,0,0
2.9174842400728385,69563.53364211565,0,0
1.5148524187875965,132377.80600380385,0,0
2.57075857525458,52094.38248723115,0,0
1.2714343262572283,116980.19979208848,0,1
2.936626132247618,108731.78360010475,0,0
2.1465096394316525,113907.80818181942,0,0
1.857406140837588,81470.00265178143,0,0
2.050103151951903,100100.16621923048,0,0
1.1016957295278407,128892.18044465066,0,1
2.274082671402276,74071.83456181685,0,0
3.640666440664786,139667.68411567208,1,1
1.5474112612061193,123497.60620588886,0,0
3.4796064850531643,29421.970662049604,0,0
1.8633159895272635,43562.29524174454,0,0
3.248443675140781,29979.74297598526,0,0
3.5020894559936244,84161.0297324977,0,0
3.8183054431710373,82316.37293229625,1,1
4.0,93446.00018669206,1,1
2.315964871160762,57594.70390791162,0,0
3.2187696943602617,116491.86567050636,0,0
2.1009356132941583,134483.96808150294,0,0
3.3776224211222043,49050.53998761419,0,0
2.3795238824656826,77645.37614678836,0,0
2.550962249597046,79931.31881439187,0,0
3.4744416623988905,90436.47279042733,0,0
1.4326649882154199,81160.88339244269,0,0
2.3552597919895524,62099.95220871749,0,0
3.4912792010313076,75716.37176455911,0,0
3.0331719220165207,121922.87147985878,0,0
1.766012799904455,126104.08820162123,0,0
2.2953047814791803,52845.69347097657,0,0
2.633579748401893,102650.79931951915,0,0
3.93471273019919,131090.9954349792,1,1
2.7377375059696805,57818.868952757664,0,0
4.0,106630.26701618588,1,1
1.4811105058084686,57720.07207333812,0,0
1.72222522066089,102724.65197025724,0,0
2.8806652673917092,16483.98837783433,0,0
2.7051309359877527,89926.79848111582,0,0
3.964292332630241,99565.76122324835,1,1
3.7233170749206437,108702.02192235948,1,1
2.2618044355121656,83198.99777699742,0,0
1.7986928107811986,65131.182807406905,0,0
3.4870496733025655,118395.06086627216,1,1
2.244487088343817,112363.81267289877,0,0
2.9093868380890537,126318.36005616025,0,0
2.483597801123392,75192.37353019179,0,0
2.826063252219107,114346.33463551842,0,0
3.4257013313406577,59818.94256364723,0,0
4.0,94242.4498527216,1,1
2.170827006787014,45900.931114195315,0,0
2.9114277594702815,63337.58661498899,0,0
3.405609740788226,38238.61218862379,0,0
3.090853922663055,107114.54411037506,0,0
3.5044244505021362,135217.29519183945,0,0
1.8017718805454044,113770.3594427449,0,0
1.9555495262101106,76236.58644323407,0,0
1.4975359706591493,129183.56744013578,0,0
3.5015403273193413,107012.4919040116,0,0
3.732199093526207,81155.1103798082,1,1
3.4494797576685783,106014.7424098409,0,0
3.2579093590040165,72524.78548693366,0,0
2.624993751175133,119959.43995504959,0,0
2.65178740323402,102554.15616357427,0,0
